,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
184,STE23,chr12,862817,-,-652,5.943396226415095,Ypd
185,RPS20,chr8,72052,+,-223,10.64935064935065,Ypd
186,DUR3,chr8,72052,-,-878,10.64935064935065,Ypd
187,YHR033W,chr8,171709,+,-335,10.597402597402596,Ypd
188,CPA1,chr15,876637,+,-351,17.194444444444443,Ypd
189,ATG19,chr15,162182,+,-476,16.5,Ypd
190,RPL26A,chr12,778545,+,-262,5.613207547169812,Ypd
191,INN1,chr14,335529,+,-647,15.675675675675675,Ypd
192,YCK2,chr14,335529,-,-143,15.675675675675675,Ypd
193,GIM3,chr14,335529,-,450,15.675675675675675,Ypd
194,RPS17A,chr13,208313,+,-309,4.159779614325069,Ypd
195,YML6,chr13,208313,-,-131,4.159779614325069,Ypd
196,RAS1,chr15,514431,+,-638,15.555555555555555,Ypd
197,CRC1,chr15,514431,-,-226,15.555555555555555,Ypd
198,SHR5,chr15,109580,+,489,15.36111111111111,Ypd
199,ZEO1,chr15,109580,+,-588,15.36111111111111,Ypd
200,MDY2,chr15,109580,-,-708,15.36111111111111,Ypd
201,GPP1,chr9,242739,+,-670,7.260504201680672,Ypd
202,YIL055C,chr9,242739,-,-436,7.260504201680672,Ypd
203,MRS3,chr10,148889,+,-396,18.11111111111111,Ypd
204,DPI8,chr10,148889,-,-262,18.11111111111111,Ypd
205,SKN1,chr7,797970,+,-421,7.766990291262135,Ypd
206,CSR2,chr16,635704,+,-311,5.46875,Ypd
207,APL4,chr16,635704,-,-543,5.46875,Ypd
208,IRC15,chr16,528492,-,-113,5.416666666666667,Ypd
209,PHS1,chr10,229621,+,798,17.777777777777775,Ypd
210,MRPL49,chr10,229621,+,-108,17.777777777777775,Ypd
211,GPD1,chr4,411472,+,41,14.054054054054053,Ypd
212,MLP1,chr11,624771,+,-633,4.7551867219917,Ypd
213,RPL40B,chr11,624771,-,-200,4.7551867219917,Ypd
214,HXT5,chr8,297419,-,-434,8.779220779220779,Ypd
215,RPL23B,chr5,397103,+,-339,3.7595907928388748,Ypd
216,SLX8,chr5,397103,-,-131,3.7595907928388748,Ypd
217,RPS1B,chr13,140629,+,-359,3.851239669421488,Ypd
218,TEM1,chr13,140629,-,-153,3.851239669421488,Ypd
219,AVT4,chr14,424488,+,-91,13.513513513513512,Ypd
220,LCB3,chr10,146352,+,-554,16.296296296296294,Ypd
221,RPS21B,chr10,146352,-,-296,16.296296296296294,Ypd
222,ZRT3,chr11,124888,+,-311,4.564315352697095,Ypd
223,LST4,chr11,124888,-,-108,4.564315352697095,Ypd
224,RPL7A,chr7,384164,-,-184,7.0873786407766985,Ypd
225,GEA2,chr5,111598,+,-670,3.6061381074168795,Ypd
226,YEL023C,chr5,111598,-,428,3.6061381074168795,Ypd
227,ERG5,chr13,285731,-,-430,3.7190082644628104,Ypd
228,YGR283C,chr7,1086415,-,-94,6.990291262135922,Ypd
229,RPS28B,chr12,633273,+,951,4.731132075471698,Ypd
230,RPL6B,chr12,982221,+,-417,4.716981132075472,Ypd
231,VMA6,chr12,982221,-,-457,4.716981132075472,Ypd
232,YLR112W,chr12,349804,+,42,4.669811320754717,Ypd
233,HOG1,chr12,349804,+,-692,4.669811320754717,Ypd
234,CCW12,chr12,349804,-,-649,4.669811320754717,Ypd
235,ORC2,chr2,352352,-,-117,9.818181818181818,Ypd
236,RPL34B,chr9,245871,-,-448,6.2100840336134455,Ypd
237,MMF1,chr9,245871,-,795,6.2100840336134455,Ypd
238,TSR1,chr4,341143,+,-152,12.857142857142858,Ypd
239,RPS29B,chr4,341143,-,-208,12.857142857142858,Ypd
240,HAP5,chr15,1005195,+,832,12.5,Ypd
241,VTS1,chr15,1005195,+,-159,12.5,Ypd
242,PEX6,chr14,12925,-,-136,11.864864864864863,Ypd
243,MDJ2,chr14,12925,-,509,11.864864864864863,Ypd
244,SFA1,chr4,159248,+,-136,12.285714285714286,Ypd
245,UGX2,chr4,159248,-,-677,12.285714285714286,Ypd
246,STF1,chr4,229339,+,488,12.285714285714286,Ypd
247,RPP1B,chr4,229339,+,-253,12.285714285714286,Ypd
248,BDF1,chr12,881302,-,-202,4.339622641509434,Ypd
249,PNS1,chr15,633682,-,-641,11.666666666666666,Ypd
250,RPS9B,chr2,592021,+,-175,8.909090909090908,Ypd
251,NTC20,chr2,592021,-,-109,8.909090909090908,Ypd
252,DDR2,chr15,226115,-,-371,11.38888888888889,Ypd
253,RPS10B,chr13,709603,+,-156,3.3333333333333335,Ypd
254,RPL1A,chr16,144363,+,-148,4.421875000000001,Ypd
255,RPS28B,chr12,633241,+,919,4.183962264150944,Ypd
256,RPS1B,chr13,140636,+,-352,3.2561983471074383,Ypd
257,TEM1,chr13,140636,-,-160,3.2561983471074383,Ypd
258,SFP1,chr12,884192,+,-194,4.136792452830189,Ypd
259,DUS3,chr12,884192,-,-244,4.136792452830189,Ypd
260,GAT1,chr6,96443,+,-390,2.4965893587994543,Ypd
261,FRS2,chr6,96443,-,-569,2.4965893587994543,Ypd
262,GFD2,chr3,58453,+,-149,3.268698060941828,Ypd
263,SRO9,chr3,58453,-,-132,3.268698060941828,Ypd
264,PHO89,chr2,792598,-,-446,8.363636363636363,Ypd
265,HYP2,chr5,86213,+,-346,3.1202046035805626,Ypd
266,ANP1,chr5,86213,-,-580,3.1202046035805626,Ypd
267,FIR1,chr5,215750,+,-103,3.09462915601023,Ypd
268,YPT31,chr5,215750,-,-100,3.09462915601023,Ypd
269,RPS7B,chr14,434380,-,-266,10.27027027027027,Ypd
270,PDC1,chr12,213809,-,-596,3.9622641509433962,Ypd
271,AIM7,chr4,565451,+,637,10.571428571428571,Ypd
272,RPS13,chr4,565451,+,-193,10.571428571428571,Ypd
273,FAS1,chr11,106308,+,-491,3.692946058091286,Ypd
274,HSP12,chr6,107473,+,-503,2.3738062755798093,Ypd
275,MDJ1,chr6,107473,-,-425,2.3738062755798093,Ypd
276,RNR2,chr10,375036,+,-564,11.592592592592592,Ypd
277,VPS53,chr10,375036,-,-876,11.592592592592592,Ypd
278,LSM12,chr8,353848,+,783,6.233766233766234,Ypd
279,CIA2,chr8,353848,+,-94,6.233766233766234,Ypd
280,TEX1,chr14,159877,+,-23,9.45945945945946,Ypd
281,RTC4,chr14,159877,-,-662,9.45945945945946,Ypd
282,RPS31,chr12,458590,+,-206,3.7028301886792456,Ypd
283,SEC10,chr12,458590,-,-599,3.7028301886792456,Ypd
284,MLP1,chr11,624745,+,-659,3.5020746887966805,Ypd
285,RPL40B,chr11,624745,-,-174,3.5020746887966805,Ypd
286,RPP2A,chr15,247932,+,-287,9.444444444444445,Ypd
287,RPS15,chr15,247932,-,-368,9.444444444444445,Ypd
288,RPL36B,chr16,85263,-,-257,3.7083333333333335,Ypd
289,RPL14B,chr8,94960,+,-186,5.714285714285714,Ypd
290,RPS26A,chr7,167794,-,-769,4.7864077669902905,Ypd
291,YGL188C-A,chr7,167794,-,-331,4.7864077669902905,Ypd
292,CMS1,chr12,142936,-,-117,3.4433962264150946,Ypd
293,NAB3,chr16,197205,-,-640,3.5677083333333335,Ypd
294,YEL1,chr2,108082,+,-96,6.545454545454546,Ypd
295,SKT5,chr2,108082,-,-295,6.545454545454546,Ypd
296,UBP2,chr15,558719,-,-95,8.333333333333334,Ypd
297,CAT5,chr15,558719,-,931,8.333333333333334,Ypd
298,IXR1,chr11,388332,-,-362,3.1493775933609958,Ypd
299,RPA34,chr10,129004,+,-126,9.62962962962963,Ypd
300,RPL43B,chr10,603008,+,-266,9.62962962962963,Ypd
301,NSR1,chr7,831374,-,-221,4.563106796116505,Ypd
302,YNL144C,chr14,345468,-,-427,7.837837837837838,Ypd
303,NAB3,chr16,197252,-,-687,3.3437500000000004,Ypd
304,KTI11,chr2,90080,+,-144,6.181818181818182,Ypd
305,AST1,chr2,90080,+,-866,6.181818181818182,Ypd
306,RPS8A,chr2,90080,-,-298,6.181818181818182,Ypd
307,KCC4,chr3,78122,+,-554,2.6038781163434903,Ypd
308,AGP1,chr3,78122,-,-596,2.6038781163434903,Ypd
309,FDO1,chr13,530536,+,-157,2.5895316804407718,Ypd
310,RMD6,chr5,14744,+,-246,2.506393861892583,Ypd
311,RPL40A,chr9,62651,+,-314,4.033613445378151,Ypd
312,MLP2,chr9,62651,-,-147,4.033613445378151,Ypd
313,TNA1,chr7,1037586,+,-949,4.174757281553398,Ypd
314,RAD2,chr7,1037586,-,-536,4.174757281553398,Ypd
315,SCP1,chr15,1020141,+,-100,7.222222222222222,Ypd
316,RAD17,chr15,1020141,+,-930,7.222222222222222,Ypd
317,OAF1,chr1,37633,+,-167,4.634146341463415,Ypd
318,RPS11A,chr4,490775,+,-372,7.142857142857143,Ypd
319,TIM8,chr10,670987,+,-930,8.148148148148147,Ypd
320,SGM1,chr10,670987,-,-115,8.148148148148147,Ypd
321,MCM22,chr10,670987,-,791,8.148148148148147,Ypd
322,RPL2B,chr9,304536,+,-530,3.6722689075630255,Ypd
323,ADA2,chr4,1335057,+,-186,6.857142857142857,Ypd
324,RPS17B,chr4,1335057,-,-262,6.857142857142857,Ypd
325,CPA1,chr15,876451,+,-537,6.416666666666667,Ypd
326,PRY1,chr10,274540,-,-334,7.777777777777778,Ypd
327,RPL6A,chr13,119028,-,-299,2.3691460055096423,Ypd
328,PEX6,chr14,13057,-,-268,6.243243243243243,Ypd
329,MDJ2,chr14,13057,-,377,6.243243243243243,Ypd
330,CDC19,chr1,60368,+,-617,4.2682926829268295,Ypd
331,YJR115W,chr10,634984,+,-111,6.052631578947369,Ypd
332,TDA4,chr10,634984,+,-698,6.052631578947369,Ypd
333,RSM7,chr10,634984,-,-972,6.052631578947369,Ypd
334,RPH1,chr5,517023,+,-226,2.2736572890025575,Ypd
335,CCA1,chr5,517023,-,-213,2.2736572890025575,Ypd
336,IRC15,chr16,528526,-,-147,2.8854166666666665,Ypd
337,TDH3,chr7,910601,-,-470,3.6893203883495143,Ypd
338,RPS18A,chr4,1338620,+,-465,6.028571428571429,Ypd
339,UTP6,chr4,1338620,-,-500,6.028571428571429,Ypd
340,PFK27,chr15,69224,-,-313,6.111111111111111,Ypd
341,MED7,chr15,69224,-,786,6.111111111111111,Ypd
342,PAC1,chr15,820517,+,-120,6.111111111111111,Ypd
343,HRK1,chr15,820517,-,-908,6.111111111111111,Ypd
344,YBL029W,chr2,165503,+,-826,4.7272727272727275,Ypd
345,YBL029C-A,chr2,165503,-,-394,4.7272727272727275,Ypd
346,GPM2,chr4,413004,+,-596,6.0,Ypd
347,UBI4,chr12,50420,-,-200,2.6415094339622645,Ypd
348,CLN3,chr1,57701,-,-596,3.9024390243902443,Ypd
349,BUD22,chr13,281485,+,-118,2.203856749311295,Ypd
350,YOR338W,chr15,950946,+,-176,5.833333333333333,Ypd
351,RPA190,chr15,954619,+,-528,5.833333333333333,Ypd
352,RPA43,chr15,954619,-,-152,5.833333333333333,Ypd
353,SER3,chr5,322826,+,-640,2.071611253196931,Ypd
354,LCL2,chr12,325480,+,-86,2.5,Ypd
355,CDC45,chr12,325480,-,-448,2.5,Ypd
356,TEF2,chr2,464721,+,-694,4.2,Ypd
357,TKL2,chr2,464721,-,-477,4.2,Ypd
358,RRN5,chr12,403344,+,680,2.452830188679245,Ypd
359,PUT1,chr12,403344,+,-826,2.452830188679245,Ypd
360,SLS1,chr12,403344,-,-477,2.452830188679245,Ypd
361,CAR1,chr16,348990,+,774,2.5,Ypd
362,SFP1,chr12,884044,+,-342,2.3726415094339623,Ypd
363,DUS3,chr12,884044,-,-96,2.3726415094339623,Ypd
364,RPL19B,chr2,168261,+,-363,3.8181818181818183,Ypd
365,YBL028C,chr2,168261,-,-150,3.8181818181818183,Ypd
366,RPL21B,chr16,414528,+,-224,2.34375,Ypd
367,HXT5,chr8,297580,-,-595,3.1688311688311686,Ypd
368,RPS27A,chr11,164842,+,-153,2.116182572614108,Ypd
369,YEF3,chr12,596309,+,-239,2.169811320754717,Ypd
370,MNN4,chr11,74431,-,-401,2.033195020746888,Ypd
371,RPL9A,chr7,247049,-,-289,2.3300970873786406,Ypd
372,PMA1,chr7,501433,-,-650,2.0388349514563107,Ypd
