,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
88,RBA50,chr4,1469450,+,-813,3.142857142857143,Eth
89,YDR524C-B,chr4,1469450,-,-424,3.142857142857143,Eth
90,HYP2,chr5,86227,+,-332,10.907894736842106,Eth
91,ANP1,chr5,86227,-,-594,10.907894736842106,Eth
92,GCN4,chr5,141209,-,-782,2.064,Eth
93,IES5,chr5,342797,+,-816,2.058047493403694,Glu
94,IES5,chr5,342797,+,-816,2.255639097744361,Eth
95,MET6,chr5,342797,-,236,2.058047493403694,Glu
96,MET6,chr5,342797,-,236,2.255639097744361,Eth
97,YER137C,chr5,442373,-,-349,2.5714285714285716,Eth
98,HSP12,chr6,107517,+,-459,8.383333333333333,Eth
99,MDJ1,chr6,107517,-,-469,8.383333333333333,Eth
100,PYC1,chr7,402825,+,-253,25.728395061728396,Eth
101,PMA1,chr7,501373,-,-590,2.954022988505747,Eth
102,PMA1,chr7,501484,-,-701,2.0044150110375276,Glu
103,PMA1,chr7,501484,-,-701,9.650306748466258,Eth
104,FMP48,chr7,616377,+,-643,3.6153846153846154,Eth
105,YGR067C,chr7,648774,-,-337,2.126984126984127,Eth
106,CLB6,chr7,730569,-,-501,2.183150183150183,Glu
107,RPL8A,chr8,32311,-,630,2.2952029520295203,Glu
108,CTR2,chr8,452823,+,-452,2.099630996309963,Glu
109,VHR1,chr9,237569,+,-462,3.4482758620689657,Eth
110,RGI2,chr9,237569,-,-758,3.4482758620689657,Eth
111,MET30,chr9,256500,+,-442,3.010752688172043,Eth
112,SYG1,chr9,256500,-,94,3.010752688172043,Eth
